week_end,pathogen,percent_deaths
2018-01-06,RSV,0
2018-01-06,Influenza,1.8
2018-01-06,COVID-19,0
2018-01-13,RSV,0
2018-01-13,Influenza,2.3
2018-01-13,COVID-19,0
2018-01-20,RSV,0
2018-01-20,Influenza,2.5
2018-01-20,COVID-19,0
2018-01-27,RSV,0
2018-01-27,Influenza,2.3
2018-01-27,COVID-19,0
2018-02-03,RSV,0
2018-02-03,Influenza,2.2
2018-02-03,COVID-19,0
2018-02-10,RSV,0
2018-02-10,Influenza,2
2018-02-10,COVID-19,0
2018-02-17,RSV,0
2018-02-17,Influenza,2
2018-02-17,COVID-19,0
2018-02-24,RSV,0
2018-02-24,Influenza,1.5
2018-02-24,COVID-19,0
2018-03-03,Influenza,1.3
2018-03-03,COVID-19,0
2018-03-10,RSV,0
2018-03-10,Influenza,0.9
2018-03-10,COVID-19,0
2018-03-17,RSV,0
2018-03-17,Influenza,0.8
2018-03-17,COVID-19,0
2018-03-24,Influenza,0.6
2018-03-24,COVID-19,0
2018-03-31,RSV,0
2018-03-31,Influenza,0.5
2018-03-31,COVID-19,0
2018-04-07,Influenza,0.5
2018-04-07,COVID-19,0
2018-04-14,Influenza,0.4
2018-04-14,COVID-19,0
2018-04-21,Influenza,0.3
2018-04-21,COVID-19,0
2018-04-28,Influenza,0.2
2018-04-28,COVID-19,0
2018-05-05,Influenza,0.2
2018-05-05,COVID-19,0
2018-05-12,Influenza,0.1
2018-05-12,COVID-19,0
2018-05-19,Influenza,0.1
2018-05-19,COVID-19,0
2018-05-26,Influenza,0.1
2018-05-26,COVID-19,0
2018-06-02,Influenza,0.1
2018-06-02,COVID-19,0
2018-06-09,RSV,0
2018-06-09,Influenza,0
2018-06-09,COVID-19,0
2018-06-16,RSV,0
2018-06-16,Influenza,0
2018-06-16,COVID-19,0
2018-06-23,RSV,0
2018-06-23,COVID-19,0
2018-06-30,RSV,0
2018-06-30,COVID-19,0
2018-07-07,RSV,0
2018-07-07,Influenza,0
2018-07-07,COVID-19,0
2018-07-14,RSV,0
2018-07-14,COVID-19,0
2018-07-21,RSV,0
2018-07-21,COVID-19,0
2018-07-28,RSV,0
2018-07-28,Influenza,0
2018-07-28,COVID-19,0
2018-08-04,COVID-19,0
2018-08-11,Influenza,0
2018-08-11,COVID-19,0
2018-08-18,RSV,0
2018-08-18,COVID-19,0
2018-08-25,RSV,0
2018-08-25,Influenza,0
2018-08-25,COVID-19,0
2018-09-01,COVID-19,0
2018-09-08,COVID-19,0
2018-09-15,COVID-19,0
2018-09-22,Influenza,0
2018-09-22,COVID-19,0
2018-09-29,Influenza,0
2018-09-29,COVID-19,0
2018-10-06,Influenza,0
2018-10-06,COVID-19,0
2018-10-13,RSV,0
2018-10-13,Influenza,0
2018-10-13,COVID-19,0
2018-10-20,Influenza,0
2018-10-20,COVID-19,0
2018-10-27,RSV,0
2018-10-27,Influenza,0
2018-10-27,COVID-19,0
2018-11-03,Influenza,0
2018-11-03,COVID-19,0
2018-11-10,Influenza,0.1
2018-11-10,COVID-19,0
2018-11-17,RSV,0
2018-11-17,Influenza,0
2018-11-17,COVID-19,0
2018-11-24,Influenza,0.1
2018-11-24,COVID-19,0
2018-12-01,Influenza,0.1
2018-12-01,COVID-19,0
2018-12-08,Influenza,0.1
2018-12-08,COVID-19,0
2018-12-15,Influenza,0.1
2018-12-15,COVID-19,0
2018-12-22,Influenza,0.2
2018-12-22,COVID-19,0
2018-12-29,RSV,0
2018-12-29,Influenza,0.2
2018-12-29,COVID-19,0
2019-01-05,RSV,0
2019-01-05,Influenza,0.4
2019-01-05,COVID-19,0
2019-01-12,RSV,0
2019-01-12,Influenza,0.4
2019-01-12,COVID-19,0
2019-01-19,RSV,0
2019-01-19,Influenza,0.4
2019-01-19,COVID-19,0
2019-01-26,RSV,0
2019-01-26,Influenza,0.5
2019-01-26,COVID-19,0
2019-02-02,RSV,0
2019-02-02,Influenza,0.6
2019-02-02,COVID-19,0
2019-02-09,RSV,0
2019-02-09,Influenza,0.6
2019-02-09,COVID-19,0
2019-02-16,RSV,0
2019-02-16,Influenza,0.8
2019-02-16,COVID-19,0
2019-02-23,RSV,0
2019-02-23,Influenza,0.8
2019-02-23,COVID-19,0
2019-03-02,RSV,0
2019-03-02,Influenza,0.9
2019-03-02,COVID-19,0
2019-03-09,Influenza,0.9
2019-03-09,COVID-19,0
